key;day_full;day;month_nr;Semester;year
359;25/12/2010;25;12;2;2010
360;26/12/2010;26;12;2;2010
361;27/12/2010;27;12;2;2010
362;28/12/2010;28;12;2;2010
363;29/12/2010;29;12;2;2010
364;30/12/2010;30;12;2;2010
365;31/12/2010;31;12;2;2010
366;01/01/2011;1;1;1;2011
367;02/01/2011;2;1;1;2011
368;03/01/2011;3;1;1;2011
369;04/01/2011;4;1;1;2011
370;05/01/2011;5;1;1;2011
371;06/01/2011;6;1;1;2011
372;07/01/2011;7;1;1;2011
373;08/01/2011;8;1;1;2011
374;09/01/2011;9;1;1;2011
375;10/01/2011;10;1;1;2011
376;11/01/2011;11;1;1;2011
377;12/01/2011;12;1;1;2011
378;13/01/2011;13;1;1;2011
379;14/01/2011;14;1;1;2011
380;15/01/2011;15;1;1;2011
381;16/01/2011;16;1;1;2011
382;17/01/2011;17;1;1;2011
383;18/01/2011;18;1;1;2011
384;19/01/2011;19;1;1;2011
385;20/01/2011;20;1;1;2011
386;21/01/2011;21;1;1;2011
387;22/01/2011;22;1;1;2011
388;23/01/2011;23;1;1;2011
389;24/01/2011;24;1;1;2011
390;25/01/2011;25;1;1;2011
391;26/01/2011;26;1;1;2011
392;27/01/2011;27;1;1;2011
393;28/01/2011;28;1;1;2011
394;29/01/2011;29;1;1;2011
395;30/01/2011;30;1;1;2011
396;31/01/2011;31;1;1;2011
397;01/02/2011;1;2;1;2011
398;02/02/2011;2;2;1;2011
399;03/02/2011;3;2;1;2011
400;04/02/2011;4;2;1;2011
401;05/02/2011;5;2;1;2011
402;06/02/2011;6;2;1;2011
403;07/02/2011;7;2;1;2011
404;08/02/2011;8;2;1;2011
405;09/02/2011;9;2;1;2011
406;10/02/2011;10;2;1;2011
407;11/02/2011;11;2;1;2011
408;12/02/2011;12;2;1;2011
409;13/02/2011;13;2;1;2011
410;14/02/2011;14;2;1;2011
411;15/02/2011;15;2;1;2011
412;16/02/2011;16;2;1;2011
413;17/02/2011;17;2;1;2011
414;18/02/2011;18;2;1;2011
415;19/02/2011;19;2;1;2011
416;20/02/2011;20;2;1;2011
417;21/02/2011;21;2;1;2011
418;22/02/2011;22;2;1;2011
419;23/02/2011;23;2;1;2011
420;24/02/2011;24;2;1;2011
421;25/02/2011;25;2;1;2011
422;26/02/2011;26;2;1;2011
423;27/02/2011;27;2;1;2011
424;28/02/2011;28;2;1;2011
425;01/03/2011;1;3;1;2011
426;02/03/2011;2;3;1;2011
427;03/03/2011;3;3;1;2011
428;04/03/2011;4;3;1;2011
429;05/03/2011;5;3;1;2011
430;06/03/2011;6;3;1;2011
431;07/03/2011;7;3;1;2011
432;08/03/2011;8;3;1;2011
433;09/03/2011;9;3;1;2011
434;10/03/2011;10;3;1;2011
435;11/03/2011;11;3;1;2011
436;12/03/2011;12;3;1;2011
437;13/03/2011;13;3;1;2011
438;14/03/2011;14;3;1;2011
439;15/03/2011;15;3;1;2011
440;16/03/2011;16;3;1;2011
441;17/03/2011;17;3;1;2011
442;18/03/2011;18;3;1;2011
443;19/03/2011;19;3;1;2011
444;20/03/2011;20;3;1;2011
445;21/03/2011;21;3;1;2011
446;22/03/2011;22;3;1;2011
447;23/03/2011;23;3;1;2011
448;24/03/2011;24;3;1;2011
449;25/03/2011;25;3;1;2011
450;26/03/2011;26;3;1;2011
451;27/03/2011;27;3;1;2011
452;28/03/2011;28;3;1;2011
453;29/03/2011;29;3;1;2011
454;30/03/2011;30;3;1;2011
455;31/03/2011;31;3;1;2011
456;01/04/2011;1;4;1;2011
457;02/04/2011;2;4;1;2011
458;03/04/2011;3;4;1;2011
459;04/04/2011;4;4;1;2011
460;05/04/2011;5;4;1;2011
461;06/04/2011;6;4;1;2011
462;07/04/2011;7;4;1;2011
463;08/04/2011;8;4;1;2011
464;09/04/2011;9;4;1;2011
465;10/04/2011;10;4;1;2011
466;11/04/2011;11;4;1;2011
467;12/04/2011;12;4;1;2011
468;13/04/2011;13;4;1;2011
469;14/04/2011;14;4;1;2011
470;15/04/2011;15;4;1;2011
