key;day_full;day;month_full;month_nr;month_short;month_name;Semester_full;Semester;year
142;22/05/2010;22;mai/10;5;MAI;May;2010-S1;1;2010
143;23/05/2010;23;mai/10;5;MAI;May;2010-S1;1;2010
144;24/05/2010;24;mai/10;5;MAI;May;2010-S1;1;2010
145;25/05/2010;25;mai/10;5;MAI;May;2010-S1;1;2010
146;26/05/2010;26;mai/10;5;MAI;May;2010-S1;1;2010
147;27/05/2010;27;mai/10;5;MAI;May;2010-S1;1;2010
148;28/05/2010;28;mai/10;5;MAI;May;2010-S1;1;2010
149;29/05/2010;29;mai/10;5;MAI;May;2010-S1;1;2010
150;30/05/2010;30;mai/10;5;MAI;May;2010-S1;1;2010
151;31/05/2010;31;mai/10;5;MAI;May;2010-S1;1;2010
152;01/06/2010;1;jun/10;6;JUN;June;2010-S1;1;2010
153;02/06/2010;2;jun/10;6;JUN;June;2010-S1;1;2010
154;03/06/2010;3;jun/10;6;JUN;June;2010-S1;1;2010
155;04/06/2010;4;jun/10;6;JUN;June;2010-S1;1;2010
156;05/06/2010;5;jun/10;6;JUN;June;2010-S1;1;2010
157;06/06/2010;6;jun/10;6;JUN;June;2010-S1;1;2010
158;07/06/2010;7;jun/10;6;JUN;June;2010-S1;1;2010
159;08/06/2010;8;jun/10;6;JUN;June;2010-S1;1;2010
160;09/06/2010;9;jun/10;6;JUN;June;2010-S1;1;2010
161;10/06/2010;10;jun/10;6;JUN;June;2010-S1;1;2010
162;11/06/2010;11;jun/10;6;JUN;June;2010-S1;1;2010
163;12/06/2010;12;jun/10;6;JUN;June;2010-S1;1;2010
164;13/06/2010;13;jun/10;6;JUN;June;2010-S1;1;2010
165;14/06/2010;14;jun/10;6;JUN;June;2010-S1;1;2010
166;15/06/2010;15;jun/10;6;JUN;June;2010-S1;1;2010
167;16/06/2010;16;jun/10;6;JUN;June;2010-S1;1;2010
168;17/06/2010;17;jun/10;6;JUN;June;2010-S1;1;2010
169;18/06/2010;18;jun/10;6;JUN;June;2010-S1;1;2010
170;19/06/2010;19;jun/10;6;JUN;June;2010-S1;1;2010
171;20/06/2010;20;jun/10;6;JUN;June;2010-S1;1;2010
172;21/06/2010;21;jun/10;6;JUN;June;2010-S1;1;2010
173;22/06/2010;22;jun/10;6;JUN;June;2010-S1;1;2010
174;23/06/2010;23;jun/10;6;JUN;June;2010-S1;1;2010
175;24/06/2010;24;jun/10;6;JUN;June;2010-S1;1;2010
176;25/06/2010;25;jun/10;6;JUN;June;2010-S1;1;2010
177;26/06/2010;26;jun/10;6;JUN;June;2010-S1;1;2010
178;27/06/2010;27;jun/10;6;JUN;June;2010-S1;1;2010
179;28/06/2010;28;jun/10;6;JUN;June;2010-S1;1;2010
180;29/06/2010;29;jun/10;6;JUN;June;2010-S1;1;2010
181;30/06/2010;30;jun/10;6;JUN;June;2010-S1;1;2010
182;01/07/2010;1;jul/10;7;JUL;July;2010-S2;2;2010
183;02/07/2010;2;jul/10;7;JUL;July;2010-S2;2;2010
184;03/07/2010;3;jul/10;7;JUL;July;2010-S2;2;2010
185;04/07/2010;4;jul/10;7;JUL;July;2010-S2;2;2010
186;05/07/2010;5;jul/10;7;JUL;July;2010-S2;2;2010
187;06/07/2010;6;jul/10;7;JUL;July;2010-S2;2;2010
188;07/07/2010;7;jul/10;7;JUL;July;2010-S2;2;2010
189;08/07/2010;8;jul/10;7;JUL;July;2010-S2;2;2010
190;09/07/2010;9;jul/10;7;JUL;July;2010-S2;2;2010
191;10/07/2010;10;jul/10;7;JUL;July;2010-S2;2;2010
192;11/07/2010;11;jul/10;7;JUL;July;2010-S2;2;2010
193;12/07/2010;12;jul/10;7;JUL;July;2010-S2;2;2010
194;13/07/2010;13;jul/10;7;JUL;July;2010-S2;2;2010
195;14/07/2010;14;jul/10;7;JUL;July;2010-S2;2;2010
196;15/07/2010;15;jul/10;7;JUL;July;2010-S2;2;2010
197;16/07/2010;16;jul/10;7;JUL;July;2010-S2;2;2010
198;17/07/2010;17;jul/10;7;JUL;July;2010-S2;2;2010
199;18/07/2010;18;jul/10;7;JUL;July;2010-S2;2;2010
200;19/07/2010;19;jul/10;7;JUL;July;2010-S2;2;2010
201;20/07/2010;20;jul/10;7;JUL;July;2010-S2;2;2010
202;21/07/2010;21;jul/10;7;JUL;July;2010-S2;2;2010
203;22/07/2010;22;jul/10;7;JUL;July;2010-S2;2;2010
204;23/07/2010;23;jul/10;7;JUL;July;2010-S2;2;2010
205;24/07/2010;24;jul/10;7;JUL;July;2010-S2;2;2010
206;25/07/2010;25;jul/10;7;JUL;July;2010-S2;2;2010
207;26/07/2010;26;jul/10;7;JUL;July;2010-S2;2;2010
208;27/07/2010;27;jul/10;7;JUL;July;2010-S2;2;2010
209;28/07/2010;28;jul/10;7;JUL;July;2010-S2;2;2010
210;29/07/2010;29;jul/10;7;JUL;July;2010-S2;2;2010
211;30/07/2010;30;jul/10;7;JUL;July;2010-S2;2;2010
212;31/07/2010;31;jul/10;7;JUL;July;2010-S2;2;2010
213;01/08/2010;1;ago/10;8;AUG;August;2010-S2;2;2010
214;02/08/2010;2;ago/10;8;AUG;August;2010-S2;2;2010
215;03/08/2010;3;ago/10;8;AUG;August;2010-S2;2;2010
216;04/08/2010;4;ago/10;8;AUG;August;2010-S2;2;2010
217;05/08/2010;5;ago/10;8;AUG;August;2010-S2;2;2010
218;06/08/2010;6;ago/10;8;AUG;August;2010-S2;2;2010
219;07/08/2010;7;ago/10;8;AUG;August;2010-S2;2;2010
220;08/08/2010;8;ago/10;8;AUG;August;2010-S2;2;2010
221;09/08/2010;9;ago/10;8;AUG;August;2010-S2;2;2010
